,text,label
76,Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,3
77,Allen 's funniest and most likeable movie in years .,4
78,It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,4
79,This comic gem is as delightful as it is derivative .,4
80,"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",4
81,"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",3
82,"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",2
83,"The production has been made with an enormous amount of affection , so we believe these characters love each other .",4
84,Certainly the performances are worthwhile .,3
85,"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",3
86,Watching these eccentrics is both inspiring and pure joy .,4
87,Steven Spielberg brings us another masterpiece,4
88,"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",3
89,"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",4
90,Allen shows he can outgag any of those young whippersnappers making moving pictures today .,3
91,"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",3
92,"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",1
93,I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,4
94,A literary detective story is still a detective story and aficionados of the whodunit wo n't be disappointed .,3
95,High Crimes steals so freely from other movies and combines enough disparate types of films that it ca n't help but engage an audience .,3
96,If you 're a fan of the series you 'll love it and probably want to see it twice .,4
97,I will be .,3
98,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",3
99,"The story ... is inspiring , ironic , and revelatory of just how ridiculous and money-oriented the record industry really is .",4
100,It is also a testament to the integrity and vision of the band .,3
101,"Laced with liberal doses of dark humor , gorgeous exterior photography , and a stable-full of solid performances , No Such Thing is a fascinating little tale .",4
102,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",3
103,Nair does n't treat the issues lightly .,3
104,She allows each character to confront their problems openly and honestly .,3
105,"One of the best silly horror movies of recent memory , with some real shocks in store for unwary viewers .",4
106,The work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them .,3
107,Strange occurrences build in the mind of the viewer and take on extreme urgency .,3
108,"Has a certain ghoulish fascination , and generates a fair amount of B-movie excitement .",3
109,Familiar but utterly delightful .,3
110,"A fascinating , dark thriller that keeps you hooked on the delicious pulpiness of its lurid fiction .",3
111,"The film aims to be funny , uplifting and moving , sometimes all at once .",3
112,The extent to which it succeeds is impressive .,3
113,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",4
114,"While not for every taste , this often very funny collegiate gross-out comedy goes a long way toward restoring the luster of the National Lampoon film franchise , too long reduced to direct-to-video irrelevancy .",3
115,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",3
116,"In addition to Hoffman 's powerful acting clinic , this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday .",4
117,Jeffrey Tambor 's performance as the intelligent jazz-playing exterminator is Oscar-worthy .,4
118,"From the opening strains of the Average White Band 's `` Pick up the Pieces '' , you can feel the love .",3
119,Stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls .,3
120,that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture,3
121,"Old people will love this movie , and I mean that in the nicest possible way : Last Orders will touch the heart of anyone old enough to have earned a 50-year friendship .",2
122,Meyjes ' provocative film might be called an example of the haphazardness of evil .,3
123,Tian emphasizes the isolation of these characters by confining color to Liyan 's backyard .,2
124,The movie is pretty funny now and then without in any way demeaning its subjects .,3
125,imagine a scenario where Bergman approaches Swedish fatalism using Gary Larson 's Far Side humor,3
126,"Too damn weird to pass up , and for the blacklight crowd , way cheaper ( and better ) than Pink Floyd tickets .",3
127,"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",4
128,It 's not a great monster movie .,1
129,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",2
130,Chomp chomp !,2
131,The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,2
132,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",4
133,"Miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet .",3
134,Time Out is existential drama without any of the pretension associated with the term .,3
135,"It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .",3
136,Writer\/director Alexander Payne ( Election ) and his co-writer Jim Taylor brilliantly employ their quirky and fearless ability to look American angst in the eye and end up laughing .,3
137,A movie that at its best does n't just make the most out of its characters ' flaws but insists on the virtue of imperfection .,2
138,"It 's tough to watch , but it 's a fantastic movie .",4
139,The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,4
140,What saves this deeply affecting film from being merely a collection of wrenching cases is Corcuera 's attention to detail .,3
141,Pacino is the best he 's been in years and Keener is marvelous .,4
142,"A solid , spooky entertainment worthy of the price of a ticket .",3
143,"By turns fanciful , grisly and engagingly quixotic .",3
144,"... very funny , very enjoyable ...",4
145,Adaptation is intricately constructed and in a strange way nails all of Orlean 's themes without being a true adaptation of her book .,3
146,So purely enjoyable that you might not even notice it 's a fairly straightforward remake of Hollywood comedies such as Father of the Bride .,3
147,Moonlight Mile gives itself the freedom to feel contradictory things .,3
148,"It is sentimental but feels free to offend , is analytical and then surrenders to the illogic of its characters , is about grief and yet permits laughter .",4
149,"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",3
150,Robin Williams has thankfully ditched the saccharine sentimentality of Bicentennial Man in favour of an altogether darker side .,3
151,"If you 're willing to have fun with it , you wo n't feel cheated by the high infidelity of Unfaithful .",3
152,Australia : Land Beyond Time is an enjoyable Big Movie primarily because Australia is a weirdly beautiful place .,3
153,Hoffman 's performance is authentic to the core of his being .,3
154,Told just proficiently enough to trounce its overly comfortable trappings .,3
155,"An enthralling aesthetic experience , one that 's steeped in mystery and a ravishing , baroque beauty .",4
156,The quirky drama touches the heart and the funnybone thanks to the energetic and always surprising performance by Rachel Griffiths .,4
157,A captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age .,4
158,What could have been a daytime soap opera is actually a compelling look at a young woman 's tragic odyssey .,3
159,Duvall is strong as always .,4
160,A no-holds-barred cinematic treat .,4
161,You 'd have to be a most hard-hearted person not to be moved by this drama .,3
162,Allen 's underestimated charm delivers more goodies than lumps of coal .,3
163,"Measured against practically any like-themed film other than its Oscar-sweeping franchise predecessor The Silence of the Lambs , Red Dragon rates as an exceptional thriller .",4
164,An exhilarating serving of movie fluff .,2
165,"Maelstrom is strange and compelling , engrossing and different , a moral tale with a twisted sense of humor .",4
166,It makes you believe the cast and crew thoroughly enjoyed themselves and believed in their small-budget film .,3
167,"Dark and disturbing , yet compelling to watch .",2
168,"Too often , Son of the Bride becomes an exercise in trying to predict when a preordained `` big moment '' will occur and not `` if . ''",1
169,"The picture uses humor and a heartfelt conviction to tell a story about discovering your destination in life , but also acknowledging the places , and the people , from whence you came .",3
170,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,2
171,A terrific insider look at the star-making machinery of tinseltown .,3
172,It 's a diverting enough hour-and-a-half for the family audience .,3
173,A party-hearty teen flick that scalds like acid .,1
174,As giddy and whimsical and relevant today as it was 270 years ago .,4
175,The film offers an intriguing what-if premise .,4
176,The Pianist is the film Roman Polanski may have been born to make .,3
177,This version does justice both to Stevenson and to the sci-fi genre .,3
178,Poignant and delicately complex .,3
179,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers .",3
180,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,3
181,"In The Pianist , Polanski is saying what he has long wanted to say , confronting the roots of his own preoccupations and obsessions , and he allows nothing to get in the way .",3
182,"Despite the film 's shortcomings , the stories are quietly moving .",3
183,"Those who love Cinema Paradiso will find the new scenes interesting , but few will find the movie improved .",2
184,"If you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy .",3
185,This bracingly truthful antidote to Hollywood teenage movies that slather Clearasil over the blemishes of youth captures the combustible mixture of a chafing inner loneliness and desperate grandiosity that tend to characterize puberty .,3
186,The reason to see `` Sade '' lay with the chemistry and complex relationship between the marquis ( Auteil ) and Emilie ( Le Besco ) .,2
187,It 's the filmmakers ' post-camp comprehension of what made old-time B movies good-bad that makes Eight Legged Freaks a perfectly entertaining summer diversion .,3
188,"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",3
189,"... best seen as speculative history , as much an exploration of the paranoid impulse as a creative sequel to the Warren Report .",2
190,"It has its faults , but it is a kind , unapologetic , sweetheart of a movie , and Mandy Moore leaves a positive impression .",3
191,"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",3
192,"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French coming-of-age genre .",3
193,"Flawed , but worth seeing for Ambrose 's performance .",2
194,"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control -- driven by a natural sense for what works on screen .",4
195,The humor and humanity of Monsoon Wedding are in perfect balance .,3
196,"Lookin ' for sin , American-style ?",1
197,"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",2
198,A compelling motion picture that illustrates an American tragedy .,4
199,"As comedic spotlights go , Notorious C.H.O. hits all the verbal marks it should .",3
200,It 's a day at the beach -- with air conditioning and popcorn .,3
201,Frida is n't that much different from many a Hollywood romance .,1
202,"What sets it apart is the vision that Taymor , the avant garde director of Broadway 's The Lion King and the film Titus , brings .",3
203,"Stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid .",4
204,"Extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .",4
205,The film exudes the urbane sweetness that Woody Allen seems to have bitterly forsaken .,3
206,"K-19 : The Widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining .",3
207,"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , morally alert and street-smart .",3
208,"Cineasts will revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of Miramax chief Harvey Weinstein 's bluff personal style to the stylistic rigors of Denmark 's Dogma movement .",3
209,It 's a rare window on an artistic collaboration .,3
210,"... begins with promise , but runs aground after being snared in its own tangled plot .",1
211,Perhaps the best sports movie I 've ever seen .,4
212,Cho 's timing is priceless .,4
213,"... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ... what could have been a melodramatic , Lifetime Channel-style anthology .",2
214,"A sensitive , moving , brilliantly constructed work .",4
215,An edgy thriller that delivers a surprising punch .,3
216,A reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .,3
217,( Reno ) delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .,3
218,there is truth here,3
219,"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film",4
220,"A touching , small-scale story of family responsibility and care in the community .",3
221,Arteta directs one of the best ensemble casts of the year,4
222,The casting of von Sydow ... is itself Intacto 's luckiest stroke .,3
223,"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the sequels .",3
224,"A gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .",4
225,"Stands as one of the year 's most intriguing movie experiences , letting its imagery speak for it while it forces you to ponder anew what a movie can be .",4
226,"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices ( cool visual backmasking ) , a solid cast , and some wickedly sick and twisted humor ...",4
227,This movie got me grinning .,3
228,There 's a part of us that can not help be entertained by the sight of someone getting away with something .,3
229,An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an encounter with the rich and the powerful who have nothing but disdain for virtue .,3
230,"What 's not to like about a movie with a ` children 's ' song that includes the line ` My stepdad 's not mean , he 's just adjusting ' ?",3
231,"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",2
232,The pleasures that it does afford may be enough to keep many moviegoers occupied amidst some of the more serious-minded concerns of other year-end movies .,3
233,"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it joins is a necessary and timely one .",3
234,"There are no special effects , and no Hollywood endings .",3
235,"Like the original , this version is raised a few notches above kiddie fantasy pablum by Allen 's astringent wit .",3
236,"Despite its Hawaiian setting , the science-fiction trimmings and some moments of rowdy slapstick , the basic plot of `` Lilo '' could have been pulled from a tear-stained vintage Shirley Temple script .",1
237,A brutally honest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,2
238,"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic punch , a haunting ode to humanity .",4
239,"Sparkles in its deft portrait of Tinseltown 's seasoned veterans of gossip , wealth , paranoia , and celebrityhood .",2
240,"In its dry and forceful way , it delivers the same message as Jiri Menzel 's Closely Watched Trains and Danis Tanovic 's No Man 's Land .",3
241,... a triumph of emotionally and narratively complex filmmaking .,4
242,( Haynes ' ) homage to such films as `` All That Heaven Allows '' and `` Imitation of Life '' transcends them .,2
243,"Simply put , `` Far From Heaven '' is a masterpiece .",4
244,An intense and effective film about loneliness and the chilly anonymity of the environments where so many of us spend so much of our time .,3
245,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",1
246,Proves mainly that South Korean filmmakers can make undemanding action movies with all the alacrity of their Hollywood counterparts .,2
247,A very funny romantic comedy about two skittish New York middle-agers who stumble into a relationship and then struggle furiously with their fears and foibles .,3
248,Top-notch action powers this romantic drama .,4
249,Beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart .,3
250,"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '",3
251,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",4
252,Probably the best case for Christianity since Chesterton and Lewis .,3
253,"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by false sentiment or sharp , overmanipulative Hollywood practices .",3
254,"Would be an unendurable viewing experience for this ultra-provincial New Yorker if 26-year-old Reese Witherspoon were not on hand to inject her pure fantasy character , Melanie Carmichael , with a massive infusion of old-fashioned Hollywood magic .",3
255,"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty .",3
256,A lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,3
257,Schütte 's dramatic snapshot of the artist three days before his death offers an interesting bit of speculation as to the issues Brecht faced as his life drew to a close .,3
258,"A slick , engrossing melodrama .",4
259,"S1M0NE 's satire is not subtle , but it is effective .",3
260,"It 's a quirky , off-beat project .",3
261,"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a generation .",1
262,"Even if you do n't know the band or the album 's songs by heart , you will enjoy seeing how both evolve , and you will also learn a good deal about the state of the music business in the 21st Century .",3
263,The solid filmmaking and convincing characters makes this a high water mark for this genre .,4
264,"Films about loss , grief and recovery are pretty valuable these days .",3
265,"Seen in that light , Moonlight Mile should strike a nerve in many .",3
266,"It 's endlessly inventive , consistently intelligent and sickeningly savage .",4
267,It is definitely worth seeing .,4
268,An impeccable study in perversity .,3
269,"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",3
270,"A movie that both thrills the eye and , in its over-the-top way , touches the heart .",4
271,"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",3
272,"Affectionately reminds us that , in any language , the huge stuff in life can usually be traced back to the little things .",3
273,"A drama of great power , yet some members of the audience will leave the theater believing they have seen a comedy .",2
274,"The large-frame IMAX camera lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers .",4
275,"The result is more depressing than liberating , but it 's never boring .",2
276,A story about intelligent high school students that deals with first love sweetly but also seriously .,3
277,It is also beautifully acted .,4
278,"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",2
279,"Same song , second verse , coulda been better , but it coulda been worse .",2
280,"It 's a technically superb film , shining with all the usual Spielberg flair , expertly utilizing the talents of his top-notch creative team .",4
281,"Wilco fans will have a great time , and the movie should win the band a few new converts , too .",3
282,"Tsai has a well-deserved reputation as one of the cinema world 's great visual stylists , and in this film , every shot enhances the excellent performances .",3
283,The date movie that Franz Kafka would have made .,2
284,"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",3
285,Leguizamo and Jones are both excellent and the rest of the cast is uniformly superb .,4
286,I liked this film a lot ...,3
287,... there is enough originality in ` Life ' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .,3
288,A solid and refined piece of moviemaking imbued with passion and attitude .,4
289,"Nettelbeck has crafted an engaging fantasy of flavours and emotions , one part romance novel , one part recipe book .",3
290,"With or without the sex , a wonderful tale of love and destiny , told well by a master storyteller",4
291,"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation of the bard 's tragic play .",3
292,"A weird , arresting little ride .",3
293,"A fine film , but it would be a lot better if it stuck to Betty Fisher and left out the other stories .",2
294,"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you .",4
295,"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental instead .",1
296,Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,4
297,A backstage must-see for true fans of comedy .,4
298,"There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",3
299,"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",3
300,"Jones ... makes a great impression as the writer-director of this little $ 1.8 million charmer , which may not be cutting-edge indie filmmaking but has a huge heart .",4
301,"In the disturbingly involving family dysfunctional drama How I Killed My Father , French director Anne Fontaine delivers an inspired portrait of male-ridden angst and the emotional blockage that accompanies this human condition",3
302,"Below may not mark Mr. Twohy 's emergence into the mainstream , but his promise remains undiminished .",3
303,There 's no reason to miss Interview with the Assassin,4
304,Happily stays close to the ground in a spare and simple manner and does n't pummel us with phony imagery or music .,4
305,Its sheer dynamism is infectious .,3
306,"For his first attempt at film noir , Spielberg presents a fascinating but flawed look at the near future .",3
307,it somehow managed to make its way past my crappola radar and find a small place in my heart,2
308,"Perhaps it 's cliche to call the film ` refreshing , ' but it is .",4
309,"` Drumline ' shows a level of young , Black manhood that is funny , touching , smart and complicated .",4
310,"It does give a taste of the Burning Man ethos , an appealing blend of counter-cultural idealism and hedonistic creativity .",3
311,The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,2
312,"The movie is well done , but slow .",1
313,"( A ) wonderfully loopy tale of love , longing , and voting .",4
314,"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react .",3
315,"The last scenes of the film are anguished , bitter and truthful .",3
316,Mr. Koshashvili is a director to watch .,4
317,Predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director John Stockwell .,3
318,"Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his victories but , with few exceptions , it rarely stoops to cheap manipulation or corny conventions to do it .",3
319,"One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neorealism .",3
320,"It challenges , this nervy oddity , like modern art should .",3
321,"Whenever you think you 've figured out Late Marriage , it throws you for a loop .",3
322,The Pianist is Polanski 's best film .,4
323,"It is a testament of quiet endurance , of common concern , of reconciled survival .",2
324,"This Orange has some juice , but it 's far from fresh-squeezed .",1
325,"A sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern China .",3
326,"High Crimes knows the mistakes that bad movies make and is determined not to make them , and maybe that is nobility of a sort .",2
327,Cusack 's just brilliant in this .,4
328,Knows how to make our imagination wonder .,4
329,"Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the South Korean cinema .",3
330,"The overall fabric is hypnotic , and Mr. Mattei fosters moments of spontaneous intimacy .",4
331,"Evokes a palpable sense of disconnection , made all the more poignant by the incessant use of cell phones .",3
332,Malcolm McDowell is cool .,3
333,Paul Bettany is cool .,3
